,noun_phrase,entity,entity_type
6313,he,Hillary Clinton,PERSON
6314,he,John Kerry,PERSON
6315,It,Clinton,PERSON
6316,"
Donald Trump Jr.",Joe Biden,PERSON
6317,occasion,America,GPE
6318,it,Obama — Michelle Obama,PERSON
6319,"
Civil rights icon John Lewis",Biden,PERSON
6320,the Vermont senator's biggest worry,Biden,PERSON
6321,he,Biden,PERSON
6322,Donald Trump Jr.,Joe Biden,PERSON
6323,Trump,Joe Biden,PERSON
6324,three,Cory Booker,PERSON
6325,She,former Vice President Joe Biden,PERSON
6326,three,Reagan,PERSON
6327,All this,Clinton,PERSON
6328,The plan,Roxbury High,PERSON
6329,Garrity’s orders,Boston,GPE
6330,"
Civil rights icon John Lewis",Biden,PERSON
6331,the Vermont senator's biggest worry,Biden,PERSON
6332,Strickland,a Glock,PERSON
6333,A tall videographer,Ngo,PERSON
6334,This,Andy,PERSON
6335,who,Vietnam,GPE
6336,Democratic presidential candidate Joe Biden,President Donald Trump,PERSON
6337,the marquee matchup,Vice President Joe Biden,PERSON
6338,Moderators,CNN's Dana Bash,PERSON
6339,the crucial region,the Rust Belt,GPE
6340,the exception,Ohio Rep. Tim Ryan,PERSON
6341,"A $60,000 minimum",the U.S.,GPE
6342,it,Jackie O,PERSON
6343,we,our own Jackie O,PERSON
6344,Melanie,the new Jackie O.,PERSON
6345,It,California,GPE
6346,The state-run Saudi Press Agency,military spokesman Col. Turki al-Maliki,PERSON
6347,The U.S.,Iran,GPE
6348,a miscalculation,the U.S.,GPE
6349,he,former Vice President Joe Biden,PERSON
6350,Biden,former Sens. James Eastland,PERSON
6351,Former First Lady Michelle Obama,Angelina Jolie,PERSON
6352,We,Higher Ground,PERSON
6353,some Americans,the Obamas,PERSON
6354,he,Swampman Joe Biden,PERSON
6355,both Bolton,North Korea,GPE
6356,"
# p #18_32 # ad",Donald J. Trump,PERSON
6357,he,a racist and anti-Semite,PERSON
6358,Trump,Asanoyama,GPE
6359,Trump,Japan,GPE
6360,Japanese Prime Minister Shinzo Abe,U.S. President Donald Trump,PERSON
6361,U.S. President Donald Trump,Bolton,PERSON
6362,Trump,Kim Called,PERSON
6363,Meeks,CNN’s Brooke Baldwin,PERSON
6364,Meeks,CNN’s Brooke Baldwin,PERSON
6365,Gabriel Sherman,Donald Trump,PERSON
6366,that,Russia,GPE
6367,he,Swampman Joe Bidan,PERSON
6368,Conway,Biden,PERSON
6369,it,-Vice President Joseph R. Biden,PERSON
6370,this graduating class,West Point,GPE
6371,Gabbard,Harris,PERSON
6372,"former Newark, N.J., Mayor Cory Booker",Biden,PERSON
6373,Gabbard,Harris,PERSON
6374,"former Newark, N.J., Mayor Cory Booker",Biden,PERSON
6375,He,former Vice President Joe Biden,PERSON
6376,Numerous Japanese officials,— Death Wish,PERSON
6377,that,Japan,GPE
6378,he,the U.S.,GPE
6379,Trump,Japan,GPE
6380,I,Joe Biden,PERSON
6381,I,Joe Biden,PERSON
6382,he,Democratic nominee Hillary Clinton,PERSON
6383,he,Biden,PERSON
6384,Congress,President Trump,PERSON
6385,host Chuck Todd,White House press secretary Sarah Sanders,PERSON
6386,he,Swampman Joe Biden,PERSON
6387,he,Swampman Joe Biden,PERSON
6388,The president,lawyer Eugene Scalia,PERSON
6389,"A $60,000 minimum",the U.S.,GPE
6390,which Democrat,President Donald Trump,PERSON
6391,The CNN poll,Harris,PERSON
6392,the polling average,Biden,PERSON
6393,Harris,Warren,GPE
6394,it,-Vice President Joseph R. Biden,PERSON
6395,this graduating class,West Point,GPE
6396,Judge Jeanine Pirro,Biden,PERSON
6397,Fox News host Judge Jeanine Pirro,former Vice President Joe Biden,PERSON
6398,White House Press Secretary Sarah Huckabee Sanders,President Trump,PERSON
6399,CNN,Sarah Sanders,PERSON
6400,Trump,Rex Tillerson,PERSON
6401,The trip,Mr. Booker,PERSON
6402,that,Mr. Biden,PERSON
6403,who,Mr. Booker,PERSON
6404,who,Yulin Cruz,PERSON
6405,that,Japan,GPE
6406,he,the U.S.,GPE
6407,The Trump administration,Japan,GPE
6408,The Washington Post Fact Checker,former Vice President Joe Biden,PERSON
6409,He,Reverend Barber,PERSON
6410,he,Swampman Joe Biden,PERSON
6411,he,Swampman Joe Biden,PERSON
6412,we,Gary,PERSON
6413,both Bolton,North Korea,GPE
6414,it,Matthew Kacsmaryk,PERSON
6415,This,Barf Bag,PERSON
6416,Most,former Vice President Joe Biden,PERSON
6417,isolationism,America,GPE
6418,that,Obama,PERSON
6419,who,Obama,GPE
6420,a fresh-faced Indiana mayor,Sen. Bernie Sanders,PERSON
6421,which,his hawkish National Security Adviser John Bolton,PERSON
6422,which,Biden,PERSON
6423,who,Pyongyang,GPE
6424,the frontrunner,former Vice President Joe Biden,PERSON
6425,many,Biden,PERSON
6426,New York Mayor Bill DeBlasio,Biden,PERSON
6427,the world,Elizabeth Warren,PERSON
6428,News,South Bend Mayor Pete Buttigieg,PERSON
6429,she,Democratic Rep. Joe Crowley,PERSON
6430,he,Swampman Joe Bidan,PERSON
6431,Trump,Kim,PERSON
6432,who,Ms Gabbard,PERSON
6433,he,Biden,PERSON
6434,What,Erickson,PERSON
6435,he,an Episcopalian,GPE
6436,he,an Episcopalian,GPE
6437,Kim,former Vice President Joe Biden,PERSON
6438,it,Kim,PERSON
6439,who,retired Army Gen. H.R. McMaster,PERSON
6440,Republicans,Biden,PERSON
6441,we,China,GPE
6442,Trump,Omar,PERSON
6443,I,Wonkblog,PERSON
6444,that,Somalia,GPE
6445,she,Somalia,GPE
6446,He,Warren,GPE
6447,He,former Vice President Joe Biden,PERSON
6448,the law,President Donald Trump,PERSON
6449,The Alabama law,","" David Flaherty",PERSON
6450,That,Bernie,PERSON
6451,they,Biden,PERSON
6452,she,Mitchell,PERSON
6453,Hill,Biden,PERSON
6454,the poll,Bernie Sanders,PERSON
6455,at least one flash poll,Hawaii,GPE
6456,"
Washington Gov. Jay Inslee",Biden,PERSON
6457,Kim,former Vice President Joe Biden,PERSON
6458,who,Donald Trump,PERSON
6459,we,Elizabeth Warren,PERSON
6460,that,America,GPE
6461,He,former Vice President Joe Biden,PERSON
6462,Williamson,Joe Biden,PERSON
6463,That crime bill,” de Blasio,PERSON
6464,"
CNN debates","Gillibrand
de Blasio",PERSON
6465,Biden,Sen. Kamala Harris,PERSON
6466,he,Swampman Joe Biden,PERSON
6467,both Bolton,North Korea,GPE
6468,She,former Vice President Joe Biden,PERSON
6469,United Airlines,its Newark,GPE
6470,The US,Iran,GPE
6471,the US military,Iran,GPE
6472,The US,Iran,GPE
6473,The US,Iran,GPE
6474,he,Conway,GPE
6475,that,America,GPE
6476,"WASHINGTON
Democratic congresswoman Ilhan Omar",Donald Trump,PERSON
6477,he,Omar,PERSON
6478,Trump,Omar,PERSON
6479,the then-senator,former New York City Mayor Rudolph Giuliani,PERSON
6480,"
President Trump",Biden,PERSON
6481,The bottom line,Senator Harris,PERSON
6482,You,President Obama,PERSON
6483,that,Biden,PERSON
6484,you,a PhD.,GPE
6485,Trump,Biden,PERSON
6486,he,Rep. Emanuel Cleaver II,PERSON
6487,he,Joe Biden,PERSON
6488,Barack Obama’s former chief,Chakrabarti,GPE
6489,Ron Klain,Denis McDonough,PERSON
6490,"
Justice Neil Gorsuch",Scalia,PERSON
6491,Klain,McDonough,GPE
6492,that,Nevil Chamberlain,PERSON
6493,the House Intelligence Committee,former White House national security adviser Michael Flynn,PERSON
6494,The 2020 Democrat candidate,Montana Gov. Steve Bullock,PERSON
6495,The 2020 Democrat candidate,Montana Governor Steve Bullock,PERSON
6496,He,former Vice President Joe Biden,PERSON
6497,North Korea,Joe Biden ',PERSON
6498,I,"A Low IQ Individual And Worse'
President Trump",PERSON
6499,Biden’s closest competition,Sen. Bernie Sanders,PERSON
6500,One famous alum,Ashton Kutcher,PERSON
6501,"
Matthew McConaughey",a Longhorn,GPE
6502,“young senator,Joe Biden,PERSON
6503,Biden,Israel,GPE
6504,he,GOP Senator Ted Cruz,PERSON
6505,President Donald Trump,former Vice President Joe Biden,PERSON
6506,he,Eugene Scalia,PERSON
6507,he,Alexander Acosta,PERSON
6508,he,Jeffrey Epstein,PERSON
6509,his face,Queen Elizabeth,PERSON
6510,Mass killing,Japan,GPE
6511,Biden,CNN's Chris Cuomo,PERSON
6512,North Korea's Foreign Ministry,Bolton,PERSON
6513,Trump,Kim,PERSON
6514,those birds,bill de blasio,PERSON
6515,Which Democrat,Donald Trump,PERSON
6516,Trump,"A Famous Sumo Wrestler A Trump Sized Trophy
President Trump",PERSON
6517,President Donald Trump,former Vice President Joe Biden,PERSON
6518,North Korea's Kim Jong Un,Biden,PERSON
6519,Trump,Kim,PERSON
6520,that,the U.S.,GPE
6521,Abe,Iran,GPE
6522,Co,Alexis Simendinger,PERSON
6523,Booker,Biden,PERSON
6524,He,former Sen. Luther Strange,PERSON
6525,One person,former Attorney General Jeff Sessions,PERSON
6526,lawyers,Hicks,PERSON
6527,Gulf war,James R. Holmes,PERSON
6528,Speakers,Sen. Bill Cassidy,PERSON
6529,Quiz masters,Donna Nackers,PERSON
6530,Trump,Iran,GPE
6531,Trump,the United States,GPE
6532,The arms sale,the United Arab Emirates,GPE
6533,Gulf war,Iran,GPE
6534,President Donald Trump,former Vice President Joe Biden,PERSON
6535,who,Hillary Clinton,PERSON
6536,President Donald Trump,Democratic presidential front-runner Joe Biden,PERSON
6537,that,Biden,PERSON
6538,he,former U.S. vice president Joe Biden,PERSON
6539,who,Joe Biden,PERSON
6540,we,Clinton,PERSON
6541,we,Gore,PERSON
6542,we,a sitting Senator call John Kerry Pontius Pilate,PERSON
6543,You,Clinton,PERSON
6544,The RealClearPolitics average,Biden,PERSON
6545,he,Swampman Joe Biden,PERSON
6546,The most vocal pro-impeachment candidates,Massachusetts Sen. Elizabeth Warren,PERSON
6547,who,Joe Biden,PERSON
6548,Biden,Kamala Harris,PERSON
6549,Castro,Rachel Maddow,PERSON
6550,What,Erickson,PERSON
6551,he,an Episcopalian,GPE
6552,he,an Episcopalian,GPE
6553,Trump,2016 rival Hillary Clinton,PERSON
6554,who,President Donald Trump,PERSON
6555,he,Elijah Cummings,PERSON
6556,that,America,GPE
6557,that,President Donald Trump,PERSON
6558,Trump,**US President Donald Trump,PERSON
6559,the president,Canada,GPE
6560,We,Donald Trump,PERSON
6561,His campaign,Rep. Ro Khanna,PERSON
6562,that,Rep. Alexandria Ocasio-Cortez,PERSON
6563,Steve Bannon,Joe Biden ',PERSON
6564,he,lawyer Eugene Scalia,PERSON
6565,Booker,Biden,PERSON
6566,The federal trial judge,Christensen,PERSON
6567,he,Christensen,PERSON
6568,Trump,Iran,GPE
6569,Trump,the United States,GPE
6570,Epstein,"
NEW YORK",GPE
6571,Ex-Illinois student’s life,PEORIA,GPE
6572,That,Bernie,PERSON
6573,they,Biden,PERSON
6574,he,Omar,PERSON
6575,they,America,GPE
6576,Trump,Ohio,GPE
6577,He,former Vice President Joe Biden,PERSON
6578,the Hawaiian lawmaker,Donald Trump,PERSON
6579,That,Bernie,PERSON
6580,they,Biden,PERSON
6581,White House Press Secretary,Chuck Todd,PERSON
6582,it,Joe Biden,PERSON
6583,candidates,former Vice President Joe Biden,PERSON
6584,One,Andrii Artemenko,PERSON
6585,some Democrats,Joe Biden,PERSON
6586,the US,Kim Song,PERSON
6587,Trump,the US,GPE
6588,Trump,the US,GPE
6589,it,Iran,GPE
6590,we,an Iran,GPE
6591,Trump's senior economic officials,China,GPE
6592,that,the US,GPE
6593,The latest Fox News poll,Biden,PERSON
6594,Polling,Biden,PERSON
6595,anyone,Howard Dean,PERSON
6596,Who,Dean,PERSON
6597,Howard Dean,Howard Dean,PERSON
6598,The mainstream media,Biden,PERSON
6599,Trump,Sens. Elizabeth Warren,PERSON
6600,that,the U.S.,GPE
6601,I,Biden,PERSON
6602,I,Obama,GPE
6603,that,20-year-old Tierna Davidson,PERSON
6604,The United States,Sweden,GPE
6605,Trump,Minnesota Rep. Ilhan Omar,PERSON
6606,Sen. Cory Booker,CNBC’s John Harwood,PERSON
6607,three candidates,former Vice President Joseph R. Biden Jr.,PERSON
6608,An incredulous Mehta,Consovoy,PERSON
6609,An incredulous Mehta,Whitewater,PERSON
6610,that,Trumpenstein,PERSON
6611,the Democrats,"the right-wing, arch-corporatist-imperialist Joe Biden",PERSON
6612,A motorcade,Abe,PERSON
6613,we,Gary,PERSON
6614,Biden,Kim,PERSON
6615,North Korea,Biden,PERSON
6616,he,the U.S.,GPE
6617,The Trump administration,Japan,GPE
6618,One,Andrii Artemenko,PERSON
6619,who,A Fighting Chance,PERSON
6620,who,this Elizabeth Warren,PERSON
6621,who,Yulin Cruz,PERSON
6622,that,the United States,GPE
6623,One,Andrii Artemenko,PERSON
6624,that,President Donald Trump,PERSON
6625,He,Abe,PERSON
6626,Japanese Prime Minister Shinzo Abe,U.S. President Donald Trump,PERSON
6627,Japan's sumo fans,Trump Trophy,PERSON
6628,A medium-strength earthquake,eastern Japan,GPE
6629,Trump,U.S.-China,GPE
6630,U.S. nuclear talks,North Korea,GPE
6631,The candidates,Vermont Sen. Bernie Sanders,PERSON
6632,The two candidates,Vermont Sen. Bernie Sanders,PERSON
6633,That,Bernie,PERSON
6634,they,Biden,PERSON
6635,he,Swampman Joe Biden,PERSON
6636,he,the US,GPE
6637,The Trump administration,Japan,GPE
6638,They,North Korea,GPE
6639,he,Swampman Joe Bidan,PERSON
6640,Biden,Kim,PERSON
6641,A spokesman,the United States,GPE
6642,Biden,China,GPE
6643,He,China,GPE
6644,the marquee matchup,Vice President Joe Biden,PERSON
6645,Moderators,CNN's Dana Bash,PERSON
6646,who,Joe Biden,PERSON
6647,Democratic presidential candidate Pete Buttigieg,President Donald Trump,PERSON
6648,Pete Buttigieg,President Trump,PERSON
6649,He,President Trump,PERSON
6650,he,daughter Ashley,PERSON
6651,it,Hunter,PERSON
6652,We,"STEVE BULLOCK
",PERSON
6653,which,Anthony Weiner,PERSON
6654,ex,son Teddy,PERSON
6655,his father's ancestors,Civil War Union general Andrew Hickenlooper,PERSON
6656,his father's ancestors,Religion,PERSON
6657,that,Barack Obama,PERSON
6658,Senator Obama,Hillary Clinton,PERSON
6659,the usual examples,Hitler,PERSON
6660,I,Elizabeth Warren,PERSON
6661,a pink-tongued snapshot,your Valentine,PERSON
6662,Warren,Roosevelt,PERSON
6663,I,Warren,PERSON
6664,it,Joe Biden,PERSON
6665,Sanders,Warren,PERSON
6666,she,Jim,PERSON
6667,she,Jim,PERSON
6668,Warren,Mann,PERSON
6669,I,Warren,PERSON
6670,Warren,Timothy Geithner,PERSON
6671,they,Washington,GPE
6672,you,Texas,GPE
6673,Synar,Warren,GPE
6674,a Harvard student,Warren,GPE
6675,“The Two-Income Trap,Warren,GPE
6676,Stephen Colbert,Howard Stern,PERSON
6677,Colbert,Stern,PERSON
6678,I,Donald Trump,PERSON
6679,Then-candidate Trump,Stern,PERSON
6680,Joe Biden's message,"'
Meghan McCain",PERSON
6681,Democrats,Donald Trump,PERSON
6682,It,Donald Trump,PERSON
6683,who,former President George W. Bush,PERSON
6684,it,Mexico,GPE
6685,it,Canada,GPE
6686,President Obama,Jim,PERSON
6687,who,Massachusetts,GPE
6688,I,Pennsylvania,GPE
6689,gleefully,Kim,PERSON
6690,I,William Ury,PERSON
6691,he,Kim,PERSON
6692,that,the United States,GPE
6693,the marquee matchup,Vice President Joe Biden,PERSON
6694,Moderators,CNN's Dana Bash,PERSON
6695,which,Warren,GPE
6696,"
Mexico president",Tory leadership contender Rory Stewart,PERSON
6697,O’Rourke’s former district,Fort Bliss,GPE
6698,"
Civil rights icon John Lewis",Biden,PERSON
6699,the Vermont senator's biggest worry,Biden,PERSON
6700,The first night’s stage,O’Rourke,PERSON
6701,"
O’Rourke",Biden,PERSON
6702,many,Clinton,PERSON
6703,Ronald Reagan,Jimmy Carter,PERSON
6704,The majority,marijuana legalization,PERSON
6705,then-Vice President Biden,Ukraine,GPE
6706,Oleg,Christopher Steele,PERSON
6707,Andy Serwer,billionaire Mark Cuban,PERSON
6708,Warren,Tom Brady,PERSON
6709,Omar’s real name,Ilhan Nur Said Elmi,PERSON
6710,DeWine,both Senate Bill,PERSON
6711,Amash,CNN’s Jake Tapper,PERSON
6712,Ilhan,the United States,GPE
6713,Biden,President Donald Trump,PERSON
6714,Trump,Biden,PERSON
6715,North Korea,Biden,PERSON
6716,KCNA,Biden,PERSON
6717,some people,Oberlin,PERSON
6718,Raimondo,Bon Appetit,PERSON
6719,who,biology professor Bret Weinstein,PERSON
6720,Stephen Colbert,Howard Stern,PERSON
6721,Colbert,Stern,PERSON
6722,I,Donald Trump,PERSON
6723,Then-candidate Trump,Stern,PERSON
6724,The only CNN town hall,Marianne Williamson's,PERSON
6725,which,Biden,PERSON
6726,“Harris,Biden,PERSON
6727,Round,Harris,PERSON
6728,Americans,Martin Luther King Jr,PERSON
6729,the Democratic nominee,President Trump,PERSON
6730,thy name,Donald Trump,PERSON
6731,Mueller,Donald Trump Jr.,PERSON
6732,he,White House counsel Donald McGahn,PERSON
6733,I,Ohio,GPE
6734,North Korean leader Kim Jong Un,the United States,GPE
6735,that,President Trump,PERSON
6736,""" Graham",Brian Kilmeade,PERSON
6737,Kilmeade,Graham,PERSON
6738,"WORTH WATCHING
Brexit and UK's voting","the EU
Jeremy Hunt",PERSON
6739,Emperor Naruhito,President Donald Trump,PERSON
6740,Mrs. Trump,Empress Masako,PERSON
6741,that,Japan,GPE
6742,Iranian Foreign Minister Mohammad Javad Zarif,Tokyo,GPE
6743,44%,Biden,PERSON
6744,He,Abe,PERSON
6745,they,Biden,PERSON
6746,Their unifying figure,Donald Trump,PERSON
6747,you,Arkansas,GPE
6748,I,Arizona,GPE
6749,he,Joe Biden,PERSON
6750,Trump,Kim,PERSON
6751,that,Japan,GPE
6752,that,the U.S.,GPE
6753,Abe,Iran,GPE
6754,Ben Domenech,Seth Meyers,PERSON
6755,the swollen Arkansas River,Tulsa,GPE
6756,an early heat wave,Georgia,GPE
6757,he,Putin,PERSON
6758,Trump,McCain,PERSON
6759,President Donald Trump,former Vice President Joe Biden,PERSON
6760,"trade
U.S. President Donald Trump",Japan's new Emperor Naruhito,PERSON
6761,Trump,Japan,GPE
6762,President Donald Trump,former Vice President Joe Biden,PERSON
6763,The 20 candidates,Colorado Sen. Michael Bennet,PERSON
6764,Ben Domenech,Seth Meyers,PERSON
6765,he,Kim,PERSON
6766,AMP,Bazian,PERSON
6767,The most politically prominent member,New York State Senator Julia Salazar,PERSON
6768,IfNotNow,Taher Herzallah,PERSON
6769,whose past members,Osama bin Laden,PERSON
6770,A member,a mock Kaddish,GPE
6771,The Jewish community,Israel,GPE
6772,North Korea's Kim Jong Un,Biden,PERSON
6773,Trump,Kim,PERSON
6774,that,the U.S.,GPE
6775,Abe,Iran,GPE
6776,’s,President Trump,PERSON
6777,Drugmaker JandJ,Joins Damien Chazelle’s,PERSON
6778,the Vermont senator,Hillary Clinton,PERSON
6779,that,President Donald Trump,PERSON
6780,I,Bernie,PERSON
6781,Trump,Clinton,PERSON
6782,McDermott,Warren,GPE
6783,He,the United States,GPE
6784,Trump,China,GPE
6785,Trump’s strategic counter,China,GPE
6786,he,Mexico,GPE
6787,He,China,GPE
6788,it,China,GPE
6789,he,Joe Biden,PERSON
6790,Trump,Kim,PERSON
6791,that,Japan,GPE
6792,that,the U.S.,GPE
6793,Abe,Iran,GPE
6794,Harris,Sharpton,PERSON
6795,She,Senator Cory Booker,PERSON
6796,she,Senator Elizabeth Warren,PERSON
6797,she,former US Representative Beto O'Rourke,PERSON
6798,"
Civil rights icon John Lewis",Biden,PERSON
6799,the Vermont senator's biggest worry,Biden,PERSON
6800,he,ABC chief anchor George Stephanopoulos,PERSON
6801,Congress,President Clinton,PERSON
6802,farthest,Bernie Sanders,PERSON
6803,he,Swampman Joe Biden,PERSON
6804,The two tests,Trump’s National Security Adviser John Bolton,PERSON
6805,North Korea,Japan,GPE
6806,North Korea,Japan,GPE
6807,the last two tests,Japan,GPE
6808,they,"you’re--
President Trump",PERSON
6809,they,Paul Manafort,PERSON
6810,we,them--,PERSON
6811,--what,President Trump,PERSON
6812,all,Biden,PERSON
6813,we,Russia,GPE
6814,The Democrats,the Race Card,PERSON
6815,the only person,then-Democratic presidential nominee Hillary Clinton,PERSON
6816,the law,President Donald Trump,PERSON
6817,"""U.N. Security Council resolutions",North Korea,GPE
6818,she,former Vice President Joe Biden,PERSON
6819,Brown,Harris,PERSON
6820,Brown,Harris,PERSON
6821,That,Bernie,PERSON
6822,they,Biden,PERSON
6823,The most vocal pro-impeachment candidates,Massachusetts Sen. Elizabeth Warren,PERSON
6824,Cortez,Nancy Pelosi,PERSON
6825,Ilhan Omar,Hillary Clinton,PERSON
6826,Donald Trump,Joe Biden,PERSON
6827,Former Vice President Joe Biden,Kim Jong Un,PERSON
6828,"
Dan Lyman",Owen,PERSON
6829,An unknown North Korean Foreign Ministry spokesperson,the U.S.,GPE
6830,Song,the U.S.,GPE
6831,One,Andrii Artemenko,PERSON
6832,That,Donald Trump,PERSON
6833,a number,Barack Obama,PERSON
6834,moderator Don Lemon,Biden,PERSON
6835,they,Obama,PERSON
6836,anti-Biden,anti-Obama,PERSON
6837,Warren,a significant Obama nominee,PERSON
6838,Biden,Obama,GPE
6839,who,Yulin Cruz,PERSON
6840,This week’s poster boy,Nicolas Kristof,PERSON
6841,That candidate,-Sen. Joe Biden,PERSON
6842,Democratic Sen. Ted Kennedy,Alabama's Democratic segregationist Gov. George Wallace,PERSON
6843,Post-debate polls,Biden,PERSON
6844,only,fringe candidate Marianne Williamson,PERSON
6845,which,Ms. Pelosi,PERSON
6846,That,Bernie,PERSON
6847,they,Biden,PERSON
6848,The most vocal pro-impeachment candidates,Massachusetts Sen. Elizabeth Warren,PERSON
6849,it,Dallas,GPE
6850,who,Hillary Clinton,PERSON
6851,One thing,his proposed Carbon Throughway,PERSON
6852,You,Michael Bennet,PERSON
6853,Biden's worst enemy,Joe Biden,PERSON
6854,You,[former Vice President Joe] Biden,PERSON
6855,The winner,11-time French Open champion Rafael Nadal,PERSON
6856,he,Harry Truman,PERSON
6857,President Trump,Joe Biden,PERSON
6858,Moulton,Anderson Cooper,PERSON
6859,Moulton,MSNBC’s Kasie Hunt,PERSON
6860,he,Bob Costa,PERSON
6861,Mitt Romney,Obama,PERSON
6862,A federal prosecutor,Haney,PERSON
6863,that,the United States,GPE
6864,he,China,GPE
6865,who,blue-state California,GPE
6866,You,[former Vice President Joe] Biden,PERSON
6867,the” progressive standard-bearer,former vice president Joe Biden,PERSON
6868,Warren,President Trump,PERSON
6869,A man,Karine Jean-Pierre,PERSON
6870,The trip,Mr. Booker,PERSON
6871,that,Mr. Biden,PERSON
6872,who,Mr. Booker,PERSON
6873,White House Press Secretary Sarah Huckabee Sanders,President Trump,PERSON
6874,CNN,Sarah Sanders,PERSON
6875,Trump,Rex Tillerson,PERSON
6876,"Trump
North Korean state media",former U.S. Vice President Joe Biden,PERSON
6877,"
Biden",President Trump,PERSON
6878,You,[former Vice President Joe] Biden,PERSON
6879,Harris,CNN’s Kyung Lah,PERSON
6880,The new poll,former Vice President Joe Biden,PERSON
6881,White House press secretary Sarah Huckabee Sanders,Chuck Todd,PERSON
6882,he,Swampman Joe Biden,PERSON
6883,it,Joe Biden,PERSON
6884,Democratic Presidential Hopeful Klobuchar Proposes,Ethanol Rules,PERSON
6885,"
Elizabeth Warren",Don McGahn,PERSON
6886,it,","" added Harris",PERSON
6887,Harris,CNN's Kyung Lah,PERSON
6888,Candidates,Michael Dukakis,PERSON
6889,he,Kim,PERSON
6890,the Trump administration,North Korea,GPE
6891,It,California,GPE
6892,who,Biden,PERSON
6893,Trump,Bolton,PERSON
6894,U.N. Security Council resolutions,North Korea,GPE
6895,North Korea’s foreign ministry,the United States,GPE
6896,she,Mitchell,PERSON
6897,Hill,Biden,PERSON
6898,that,the United States,GPE
6899,I,Warren,PERSON
6900,I,Warren,PERSON
6901,Warren,Biden,PERSON
6902,Many voters,Clinton,PERSON
6903,I,Warren,PERSON
6904,she,Massachusetts,GPE
6905,Democrats,Warren,GPE
6906,the University of Texas,Warren,GPE
6907,He,Rep. Eric Swalwell,PERSON
6908,O'Rourke,George Stephanopoulos,PERSON
6909,that,the United States,GPE
6910,O’Rourke,Ted Cruz,PERSON
6911,One,Pat O’Rourke,PERSON
6912,it,pure Pat,PERSON
6913,"
O’Rourke",Amy Sanders,PERSON
6914,who,President Donald Trump,PERSON
6915,Warren,Detroit,GPE
6916,Trump,Michigan,GPE
6917,Booker,Biden,PERSON
6918,"
Flanking Sanders",Montana Gov. Steve Bullock,PERSON
6919,"
Flanking Sanders",Ohio Rep. Tim Ryan,PERSON
6920,he,Swampman Joe Biden,PERSON
6921,North Korea,Washington,GPE
6922,He,former Vice President Joe Biden,PERSON
6923,You,[former Vice President Joe] Biden,PERSON
6924,the law,President Donald Trump,PERSON
6925,The most vocal pro-impeachment candidates,Massachusetts Sen. Elizabeth Warren,PERSON
6926,Trump,Asanoyama,GPE
6927,Trump,Japan,GPE
6928,the DNC,Clinton,PERSON
6929,That crime bill,” de Blasio,PERSON
6930,Leftists,Nixon,PERSON
6931,who,America,GPE
6932,Kim,former Vice President Joe Biden,PERSON
6933,he,Swampman Joe Bidan,PERSON
6934,North Korea,Joe Biden,PERSON
6935,he,Kim Jong Un,PERSON
6936,Ronald Reagan,Jimmy Carter,PERSON
6937,That,Bernie,PERSON
6938,they,Biden,PERSON
6939,bill,Sens. Cory Booker,PERSON
6940,that,Osama bin Laden,PERSON
6941,Leonard,the Lakers,PERSON
6942,goals,the U.S.,GPE
6943,Trump,Kim,PERSON
6944,Trump,Kim,PERSON
6945,EU,Iran,GPE
6946,she,Joe Biden,PERSON
6947,Harris’s best early state,likely South Carolina,GPE
6948,she,her campaign manager Roger Lau,PERSON
6949,Senator Warren,President Warren,PERSON
6950,de Blasio,Vermont Sen. Bernie Sanders,PERSON
6951,who,President Donald Trump,PERSON
6952,that,Biden,PERSON
6953,Trump,the United States,GPE
6954,which,Harris,PERSON
6955,who,former President Barack Obama,PERSON
6956,who,neighboring Delaware,GPE
6957,Senator Kamala Harris,former Vice President Joe Biden,PERSON
6958,DNC leadership,Clinton,PERSON
6959,I,DNC Chair Tom Perez,PERSON
6960,the Democratic presidential hopeful,Biden,PERSON
6961,  Short Starbucks,Via CNN's Jordan Valinsky,PERSON
6962,Trump,more George Wallace,PERSON
6963,that,Biden,PERSON
6964,who,Biden,PERSON
6965,who,A Fighting Chance,PERSON
6966,who,this Elizabeth Warren,PERSON
6967,"A $60,000 minimum",the U.S.,GPE
6968,That sense,Warren,GPE
6969,It,California,GPE
6970,I,Jules,PERSON
6971,Trump,Minnesota Rep. Ilhan Omar,PERSON
6972,Yang,Harris,PERSON
6973,The CBS News Battleground tracker poll,Harris,PERSON
6974,The survey,Joe Biden,PERSON
6975,who,Harris,PERSON
6976,Harris,Biden,PERSON
6977,The last candidate,President Bill Clinton,PERSON
6978,This,America,GPE
6979,He,President Donald Trump,PERSON
6980,which,Reps. Alexandria Ocasio-Cortez,PERSON
6981,AOC,Trump,PERSON
6982,Trump,Hillary Clinton,PERSON
6983,He,Clinton,PERSON
6984,Trump,German Chancellor Angela Merkel,PERSON
6985,Tlaib,America,GPE
6986,Omar,America,GPE
6987,she,North Carolina,GPE
6988,Germany,Obama,GPE
6989,Other presidential hopefuls,former Vice President Joe Biden,PERSON
6990,Trump,Democratic candidate Hillary Clinton,PERSON
6991,The Democratic presidential primary contender,Saugatuck,PERSON
6992,Other stops,northeast Ohio,GPE
6993,he,former Senator Jeff Flake,PERSON
6994,Mr. Barkan,Mr. Flake,PERSON
6995,He,Carl,PERSON
